السبب/الوجه المرشّح,المصدر,وسم آلي,وسم مراجعة
عدم جواز الطعن بالغبن لكون المورث تاجر ولا يتصور أن يُغبن في تجارته أو ألا يكون عالمًا بالقيمة الحقيقية للشيء المباع,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
فساد الاستدلال بتقرير الحكم ارتضاء طرفي الدعوى بالتقييم الصادر عن الخبير في دعوى التخارج؛ لأن هذه الدعوى أُنهيت صلحًا ولم يتم الاعتماد على التقرير، وأن الموجود لدى الدائرة مسودة تقرير وليس تقرير نهائي,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
أن الحكم لم يلتفت لدخول شريك جديد وهي شركة (أوزكو المحدودة) بما لها من موجودات، أدى إلى رفع قيمته السوقية خاصة بعد ممارسة نشاطها لأكثر من عام بعد الاندماج,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
دفع السيد/ أسامة بأن تأخره في تقديم العقد المؤرخ في 20/9/1431هـ كان سببه أن السيد/ عدنان أسس دعواه على أنه باع الحصص على نفسه بالوكالة الممنوحة له، ولذلك كان دفعه يقتصر على أن المورث أبرم العقد بنفسه,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
أن الدائرة حكمت بناءً على استنتاجات مغلوطة وقناعات وعلم شخصي دون سند نظامي، بقولها أنه لا يوجد قيمة حقيقية متفق عليها بينه وبين المورث,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
أن الدائرة لم تناقش العقد، ولم تطلب منه إثبات سداده الثمن المتفق عليه,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
عدم اختصاص المحكمة بنظر الدعوى نوعيًا؛ لكون النزاع يثور حول التركة التي خلفها السيد/ أحمد الزيني المورث وليس نزاعًا تجاريًا حتى تختص المحكمة التجارية بنظره بناء على المادة (16) من نظام المحاكم التجارية,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
سبق الفصل في هذه الدعوى بموجب الدعوى المقيدة برقم (33286392) وتاريخ 8/6/1433هـ، والمنظورة لدى فضيلة القاضي صالح الزايدي والتي ثبت فيها صحة العقد، واستلام المورث قيمة الحصص,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
إبراء السيد/ عدنان للسيد/ أسامة في دعوى التخارج وأنه ليس له الحق في مطالبته بأي حقوق حالية أو مستقبلية، وأنه صدق على هذا الإبراء أمام كاتب العدل، مما يعد تصديق على تخارج والده من الشركة أيضًّا,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
إهدار الدائرة حجية عقد البيع المبرم بينه وبين المورث، بالمخالفة للمادة (29/1) من نظام الإثبات,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
أن الدائرة لم تستكمل إجراءات التحقق من دفع السيد/ عدنان بتزوير العقد رغم أنه مستند جوهري للفصل في الدعوى، ورغم أنه -المدعي- دفع بتزوير توقيع المورث أكثر من مرة، رغم أن التحقيق في هذا الدفع سيغير وجه الفصل في الدعوى,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
أن الحكم قضى بأكثر مما يطلبه الخصوم، إذ أن المدعيين طالبا بنصيبهم من تركة مورثهم بينما الحكم قضي بتسليم كامل قيمة الحصص التي باعها المورث على السيد/ أسامة,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
أن الدائرة تجاهلت الدفع بسداد ثمن الحصص المتفق عليه في العقد المؤرخ في 20/9/1431هـ وأن هذا سيترتب عليه سداده هذا الثمن مرتين الأمر الذي يعد أكل لأمواله بالباطل,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
تجاهلت الدائرة مخاطبة المحكمة العامة بجدة الدائرة ناظرة الدعوى المقيدة برقم (33286392) وتاريخ 8/6/1433هـ لكون المستندات المحاسبية لديها,أسباب اعتراض المدعي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
لا ينال من أحقية المدعي في هذه المطالبة تصفية الشركة، لثبوت الغبن الفاحش والمدعى عليه في حكم المشرف المتصرف في المال، ويجعل به للمغبون أو لورثته حق الرجوع على الغابن إما بالفسخ أو بسداد الفرق,دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
"ما دفع به المدعى عليه من أن التقرير الذي اعتمدت عليه الدائرة نالته أيدي العبث والتعديل من المدعي يضاف إلى جملة تناقضات المدعى عليه أن التقرير المؤسس عليه الحكم هو المؤرخ في 7/11/1432هـ الموافق 5/10/2011م وقد ورد فيه أن القيمة الإجمالية لحصص المورث هي بمبلغ (368,757,931) ريال، ولم يدعِ أي من الطرفين تزويره، بل إن المدعي عليه ناقشه في عدة مواضع، وذكرتها في تسبيبها",دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
أن المدعيين تراجعوا عن طلب التحقق من التزوير لكون وقائع الدعوى كافية بعدم صحة العقد، وعلى فرض صحته فإن هذا الدفع أصبح غير منتج بعد تصفية الشركة اختياريًا من قِبل المدعى عليه، بالإضافة إلى ثبوته ركنًا ومحلًا بعدم أهلية أحد العاقدين ابتداء، ثم بتخلف الثمن الحقيقي العادل للمبيع وثبوت انتفائه,دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
عرض التقرير المبدئي والنهائي على خبير محاسبي معتمد والتحري عمّا بهما من أخطاء وكيف توصل الخبير المنتدب لهذه النتيجة مع ما بها من فارق شاسع بين التقريرين، إلا أن الإشكالية أن الخصم قد يدفع بأن بتقرير الخبير المعتمد بأن صنع السيد/ أسامة,نقض حجية التقرير المحاسبي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
إعادة تقدير قيمة الشركة بناء على القوائم المالية للسنوات السابقة على البيع، وتقديم التقرير لإيضاح القيمة الحقيقة لحصة المورث، وأنها لم تزد كثيرًا عن التقدير في التقرير الصادر عن العيوطي,نقض حجية التقرير المحاسبي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
"ذكر السيد/ أسامة بصدور تقييم للشركة من المكتب المحاسبي ""العيوطي""، وأن هذا التقييم هو الذي بموجبه تم فض الشركة بين المورث و(عبد الله آبار) -رغم اختلاف أسم الشركة في التقرير المرفق بالدراسة- ومن ثم؛ إذا أثبت أن قيمة الشركة لم تتغير عمّا قدرت عليه في هذا التقرير يمكن أن يتخذ قرينة لإهدار تقرير أبو غزالة",نقض حجية التقرير المحاسبي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
إثبات أن هنالك تغييرات طرأت على حالة الشركة نتج عنها تغيير قيمتها السوقية بعد شراء حصص المورث، هذا وإن السيد/ أسامة قد دفع باندماج شركة أخرى مع الشركة موضوع البيع الأمر الذي ترتب عليه زيادة قيمته، إلا أن الدفع كان مرسل,نقض حجية التقرير المحاسبي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
وأما بشأن طرح الدائرة دفع السيد/ أسامة سبق الفصل في الدعوى لاختلاف موضوع الدعوى في كل من الدعويين السابقتين بين طرفي الدعوى فإحداهما كانت بخصوص تقرير الولاية على المورث والأخرى كانت بطلب إبطال العقد إلا أن الحكم صدر فيها بعدم الاختصاص,نقض حجية التقرير المحاسبي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
"فإن التخريج بالنظر في تصرف السيد/ عدنان، وذلك إعمالًا لما جاء به المبدأ القضائي رقم (2140): ""دلالة الفعل في بعض الأحوال أبلغ من دلالة القول"" [(م ق د): (245/4)، (17/5/1415)]، فقد تم تقرير عدم أهلية المورث وإقامة قيم عليه بموجب التقرير الطبي المعد في عام 1436هـ، ومع ذلك لم يتخذ السيد/ عدنان أي إجراء في مواجهة القيم المعين على المورث لعدم مبادرته بطلب إبطال العقد أو رفع الغبن المدعى وقوع المورث فيه، في حين أنه رغب في إقامة القيم على المورث بسبب هذا العقد",نقض حجية التقرير المحاسبي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
وقد تراخى هذا الإجراء لحين وفاة المورث عام 1438هـ -تقريبًا- بل ولم يبادر في إقامة الدعوى بعد وفاة المورث مباشرة وانتظر أربعة أعوام إذ لم تقام هذه الدعوى إلى في آخر عام 1442هـ، إذ أن جدية الموقف كانت تتطلب منه اتخاذ إجراء سريع وحاسم، وعليه؛ فهذا التراخي قرينة ظاهرة على عدم صحة الدعوى، وكيديتها,نقض حجية التقرير المحاسبي,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
"ج/ أجاز المنظم في المادة (46/1) من نظام الإثبات لمدعي التزوير التراجع عن هذا الدفع دون أن يُرتب أي أثر على هذا التراجع فيما يتعلق بقبول الدفوع التالية له من عدمه، ونصها: ""يجوز لمن يدعي تزوير المحَّرر أن يتنازل عن ادعائه قبل انتهاء إجراءات التحقيق، ولا يقبل منه ادعاء تزوير المحَّرر بعد تنازله""",دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
وبالوقوف على وقائع الدعوى فإن الأدلة الجنائية لم تكن انتهت من إجراءات التحقق من نسبة التوقيع للمورث من عدمه، الأمر الذي يجعل تصرف السيد/ عدنان بالرجوع عن الدفع بالتزوير تصرف جائز نظامًا، ويعد إقرارًا ضمنيًا بصحة ذلك المحرر,دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
غير أن ذلك لا يحول دون التمسك بالغبن بعد ذلك، حيث إن صحة نسبة التوقيع وصدوره عن الشخص المعني لا يعد قرينة على سلامة العقد وأن الحقوق والالتزامات التي رتبها في ذمة طرفيه متعادلة,دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
تقرير من خبير أمنى عن صحة توقيع المورث لإثبات صحة صفته واهليته,دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
"قد يكون لها أثر في إعادة فتح القضية مرة أخرى، إلا أن هذا الأثر ضعيف؛ لأن الحكم لم يؤسس قضاؤه على تزوير التوقيع من عدمه، بل على الغبن في ثمن المبيع واحتواء العقد على تناقضات جلية من احتساب أجرة السيد/ أسامة طيلة (30) عامًا ضمن ثمن المبيع، وتنازله عن مبلغ (10,000,000) ريال كمكافأة له، إذ أن هذين البندين فقط قيمتهما تجاوزت نصف ثمن المبيع وهو أمر لا يتصور وفقًا لتقدير المحكمة [وهو أمر به شيء من المنطق]",دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
رصد مضامين كافة تقارير الصحة النفسية وتواريخها واختلاف وضع حالة المورث بناء عليه,دفوع,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
