اسم الملف,المسار,الامتداد,الحجم,حالة القراءة,السبب,يحتاج OCR؟,ملاحظة OCR,الرابط,وسم آلي,وسم مراجعة
"تقرير من شركة ""صلاح الحجيلان للمحاماة والاستشارات القانونية مؤرخ في 10/02/1447هـ الموافق 04/08/2025م بشأن تقديم شكوى للديوان الملكي بمحافظة جدة للمخالفات التي وقعت عند نظر الدعوى المقيدة برقم (42824717) وقضية أرض التنس.",أ. المجلد الرئيسي للقضية,,,not_retrieved,Entity not found.,نعم,,https://drive.google.com/file/d/1C05k6hSn-xQwHv2-bPMVeRY60lq1JxYn/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
تفاصيل دعوى عدنان ضد أسامة ـ موعدها 03-01-1443,أ. المجلد الرئيسي للقضية (39 ملفاً),,,not_retrieved,Entity not found.,نعم,,https://drive.google.com/file/d/11QGSfb1w-5zv2-KbXXjnYjxiVuC5emhU/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
تفاصيل موعد دعوى عدنان ضد أسامة,أ. المجلد الرئيسي للقضية (39 ملفاً),,,not_retrieved,Entity not found.,نعم,,https://drive.google.com/file/d/16iGZNcIRkbpInVx0xqe0OqDoiD9F0dB4/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
تقديم التماس إعادة نظر في القضية من عدنان وعاتقة ـ 03-12-2024,أ. المجلد الرئيسي للقضية (39 ملفاً),,,not_retrieved,Entity not found.,نعم,,https://drive.google.com/file/d/1dhRkC4FzkY9jUNzGm-AukbqQboQ9q-2t/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
تقرير جلسة القضية ـ 17-12-2024,أ. المجلد الرئيسي للقضية (39 ملفاً),,,not_retrieved,Entity not found.,نعم,,https://drive.google.com/file/d/1BA4LTa4WzLrPM7d3X91DRrIO2gqYpJgi/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
مرفق (1) القروض (zip),ح. مرفقات مصروفات الشيخ أحمد وقت الحجز (3 ملفات + 3 مجلدات داخلية),,,not_retrieved,غير مقروء,نعم,,https://drive.google.com/file/d/1U9uKQ8WpgoektR7ems9tz5-I3UFy6Dc-/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
المسحوبات 1431 (zip),ح-1. المسحوبات (8 ملفات),,,not_retrieved,غير مقروء,نعم,,https://drive.google.com/file/d/1TaZlnYqoYKoRASsD8_QuRDuxqDPMSGfB/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
المسحوبات 1432 (zip),ح-1. المسحوبات (8 ملفات),,,not_retrieved,غير مقروء,نعم,,https://drive.google.com/file/d/1u1p07uJYvSMmG1zHbhBHZTMOpNjyMq47/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
المسحوبات 1433 (zip),ح-1. المسحوبات (8 ملفات),,,empty,نص ضئيل/فارغ,نعم,,https://drive.google.com/file/d/1Kwq7q1_aN_YgE1Hxk-A3DjG4xMZkzS1M/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
مزرعة الوادي 1431 (zip),ح-2. المزرعة (7 ملفات),,,not_retrieved,غير مقروء,نعم,,https://drive.google.com/file/d/1pBt6r5jJ8yOJw8mwgBFVu46bKcbQ-PdM/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
مزرعة الوادي 1432 (zip),ح-2. المزرعة (7 ملفات),,,not_retrieved,غير مقروء,نعم,,https://drive.google.com/file/d/1Yc4pUN7yi_sRmcE8YKPidyscrCXG9mO-/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
فلة الوادي 1431 (rar),ح-3. فلة الوادي (5 ملفات),,,empty,نص ضئيل/فارغ,نعم,,https://drive.google.com/file/d/1MRMCMbvZydkT1uXnciSQIFbEkhyeM5Jc/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
فلة الوادي 1432 (rar),ح-3. فلة الوادي (5 ملفات),,,not_retrieved,غير مقروء,نعم,,https://drive.google.com/file/d/1ydRIblgIFqUC42IjpF47n6hZAAMreeml/view,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
