fid,title,صفحة,كلمات,نسبة عربية,رموز,جودة,تقدير,خطر
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,1,661,1.038,0,87.1,ممتازة,12.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,2,568,1.005,0,85.3,ممتازة,14.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,3,223,1.033,0,86.8,ممتازة,13.2
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,4,569,1.043,0,87.4,ممتازة,12.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,5,521,1.008,0,85.4,ممتازة,14.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,6,437,1.045,0,86.3,ممتازة,13.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,7,200,1.028,0,85.0,ممتازة,15.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,8,167,1.018,0,84.0,ممتازة,16.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,9,519,1.03,0,85.6,ممتازة,14.4
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,10,314,1.018,0,86.0,ممتازة,14.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,11,154,1.013,0,85.7,ممتازة,14.3
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,12,451,1.025,0,84.4,ممتازة,15.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,13,411,1.039,0,87.1,ممتازة,12.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,14,82,1.236,0,98.0,ممتازة,2.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,15,678,1.05,0,87.8,ممتازة,12.2
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,16,593,1.007,0,83.4,ممتازة,16.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,17,172,1.031,0,86.7,ممتازة,13.3
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,18,310,1.07,0,88.9,ممتازة,11.1
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,19,624,1.041,0,87.3,ممتازة,12.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,20,518,1.008,0,84.3,ممتازة,15.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,21,168,1.033,0,82.7,ممتازة,17.3
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,22,303,1.033,0,84.4,ممتازة,15.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,23,739,1.036,0,87.0,ممتازة,13.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,24,229,1.05,0,82.6,ممتازة,17.4
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,25,508,1.023,0,86.3,ممتازة,13.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,26,405,1.058,0,88.2,ممتازة,11.8
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,27,205,1.028,0,86.5,ممتازة,13.5
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,28,211,1.045,0,85.0,ممتازة,15.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,29,267,1.031,0,86.7,ممتازة,13.3
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,30,202,1.048,0,87.6,ممتازة,12.4
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,31,168,1.047,0,83.4,ممتازة,16.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,32,224,1.042,0,87.3,ممتازة,12.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,33,466,1.038,0,87.1,ممتازة,12.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,34,567,1.038,0,87.1,ممتازة,12.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,35,526,1.018,0,84.9,ممتازة,15.1
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,36,358,1.035,0,84.0,ممتازة,16.0
