fid,title,صفحة,الاستراتيجية الفائزة,جودة,تقدير,كلمات
1V6hiunw,صورة تقديم 21-05-2024 (3),1,base/psm3,85.5,ممتازة,30
1iouPL40,محضر رفع التصرف على صك أرض التنس بموجب ط,1,upscale/psm4,87.6,ممتازة,135
1iouPL40,محضر رفع التصرف على صك أرض التنس بموجب ط,2,upscale/psm4,85.0,ممتازة,271
1aOyOSA5,أمر تنفيذ عدنان زيني ضد الشيخ أسامة ـ 40,1,otsu/psm6,83.6,ممتازة,193
1aOyOSA5,أمر تنفيذ عدنان زيني ضد الشيخ أسامة ـ 40,2,otsu/psm6,85.3,ممتازة,217
1aOyOSA5,أمر تنفيذ عدنان زيني ضد الشيخ أسامة ـ 40,3,upscale/psm4,85.8,ممتازة,97
1aOyOSA5,أمر تنفيذ عدنان زيني ضد الشيخ أسامة ـ 40,4,otsu/psm6,85.6,ممتازة,138
16jMMKVV,أمر تنفيذ عدنان ـ نسخة,1,otsu/psm6,83.6,ممتازة,197
16jMMKVV,أمر تنفيذ عدنان ـ نسخة,2,otsu/psm6,85.3,ممتازة,217
16jMMKVV,أمر تنفيذ عدنان ـ نسخة,3,upscale/psm4,85.6,ممتازة,95
16jMMKVV,أمر تنفيذ عدنان ـ نسخة,4,base/psm6,85.3,ممتازة,179
1z9GZ0JC,خطاب وزارة التجارة بتوثيق تخارج المدعين ,1,denoise/psm6,86.2,ممتازة,139
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,1,base/psm6,85.4,ممتازة,412
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,2,base/psm6,85.4,ممتازة,440
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,3,base/psm6,85.8,ممتازة,502
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,4,otsu/psm6,85.3,ممتازة,431
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,5,base/psm6,85.3,ممتازة,456
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,6,denoise/psm6,85.4,ممتازة,446
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,7,otsu/psm6,85.2,ممتازة,540
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,8,upscale/psm4,86.4,ممتازة,108
