التاريخ,مفتاح الترتيب,الملف المصدر,نوع المستند,المسار,وسم آلي,وسم مراجعة
2/11/1443,0,صك حكم ابتدائي ضد الشيخ اسامة زيني في القضية رقم 42824717 في 01-01-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20/9/1431,0,صك حكم ابتدائي ضد الشيخ اسامة زيني في القضية رقم 42824717 في 01-01-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
18/11/1393,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20/09/1431,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/3/1433,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26/7/1434,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/4/1438,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
4/3/1432,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
8/6/1433,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/2/1432,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
29/ 02/ 1445,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
16/11/1444,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26/06/1444,0,صك حكم نهائي ضد الشيخ اسامة زيني ـ دعوى 42824717 - 13-03-1445 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
1/17/1460,0,صك حكم التخارج في شركات احمد زيني و اولاده ـ 02-12-1432 هـ.pdf,حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
08/04/1445,0,"طلب تنفيذ مقدم من السيدة/ عاتقة ضد السيد/ أسامة فيما يتعلق بالمبلغ المحكوم لها به بموجب صك الحكم رقم (4530241622) وتاريخ 13/03/1445هـ، وقدره (27,651,219) ريال ـ 13/03/1445هـ",حكم / صك,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02-06-1446,0,تذكرة تقديم طلب التماس إعادة نظر في القضية رقم (42824717) مقيد برقم (4611037394) وتاريخ 02/06/1446هـ ـ 02/06/1446هـ,مذكرة قضائية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02 / 12 / 1432,0,ملف دراسة دفع بعدم صفة المدعي/ عدنان في الدعوى لكون المورث قد امتدت حياته عقب العقد بسبع سنوات دون أن يطعن في العقد. ـ —,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
24/04/1446,0,التماس الشيخ أسامه زيني ـ القضية 42824717 ـ من المستشار.docx,مذكرة قضائية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
01-01-1430,0,مرفقات المدعي عدنان زيني في الدعوى رقم 42824717.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
29-12-1430,0,مرفقات المدعي عدنان زيني في الدعوى رقم 42824717.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
09/08/1431,0,مرفقات المدعي عدنان زيني في الدعوى رقم 42824717.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
8/15/1431,0,مرفقات المدعي عدنان زيني في الدعوى رقم 42824717.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
9/22/1431,0,مرفقات المدعي عدنان زيني في الدعوى رقم 42824717.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
23/01/1432,0,مرفقات المدعي عدنان زيني في الدعوى رقم 42824717.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10/19/1431,0,مرفقات المدعي عدنان زيني في الدعوى رقم 42824717.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10-07-1434,0,محضر اجتماع تقسيم شركات ابار وزيني و شيكات الامير احمد و بيان شيكات القروض البنكية.pdf,محضر,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/3/ 1429,0,ملحق تنازل الشيخ احمد زيني عن كامل حصصه الى الشيخ اسامة في شركة احمد زيني التجارية ـ 16-10-1431.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
4/4/ 1430,0,ملحق تنازل الشيخ احمد زيني عن كامل حصصه الى الشيخ اسامة في شركة احمد زيني التجارية ـ 16-10-1431.pdf,عقد / اتفاقية,أ. المجلد الرئيسي للقضية,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
